date	user	intensity	diameter	power	factor	note
06-May-2026 11:26:33	Fred Rieke	1	550	70	0.000294633944236236	
23-Apr-2026 10:56:34	Fred Rieke	1	600	64	0.000226353696841807	
17-Sep-2025 11:07:31	Fred Rieke	1	600	70	0.000247574355920726	
08-Aug-2025 14:20:56	Fred Rieke	1	500	63	0.000320856365273261	
24-Jul-2025 17:16:31	Fred Rieke	1	550	47	0.000197825648272901	
23-Jul-2025 11:39:46	Fred Rieke	1	500	48	0.000244461992589151	
15-Jul-2025 16:42:53	Fred Rieke	1	400	26	0.000206901426019464	
14-May-2025 11:09:56	Fred Rieke	1	500	67	0.000341228197989024	
08-May-2025 14:08:35	Fred Rieke	1	700	67	0.000174096019382155	
08-May-2025 14:05:06	Fred Rieke	1	700	50	0.000129922402523996	
11-Feb-2025 13:22:16	Fred Rieke	1	700	11	2.85829285552792e-05	
28-Dec-2021 14:02:21	Fred Rieke	1	700	10.8	2.80632389451832e-05	
12-Jan-2021 14:19:28	Fred Rieke	1	700	11	2.85829285552792e-05	
12-Jan-2021 14:01:24	Fred Rieke	1	700	33	8.57487856658375e-05	
28-Dec-2020 16:51:44	Fred Rieke	1	660	22	6.43050275118769e-05	
03-Sep-2020 16:03:36	Fred Rieke	1	500	17.5	8.91267681314614e-05	
23-Jul-2020 17:00:02	Fred Rieke	1	400	6.3	5.0133807073947e-05	
23-Jul-2020 16:46:08	Fred Rieke	1	400	0.71	5.65000047976228e-06	
23-Jul-2020 14:24:28	Fred Rieke	1	400	0.64	5.09295817894065e-06	
23-Jul-2020 14:22:37	Fred Rieke	1	400	24.5	0.000194964805287572	
23-Jul-2020 14:01:00	Fred Rieke	1	400	0.2	1.59154943091895e-06	
23-Jul-2020 13:39:01	Fred Rieke	1	400	190	0.00151197195937301	
23-Jul-2020 13:33:18	Fred Rieke	1	400	200	0.00159154943091895	
10-Aug-2026 10:29:49	Fred Rieke	1	550	64	0.000269379606158844	
